exchange_ticker,ticker,exchange,company,price,shares_outstanding,market_cap,industry,sector,latest_ex_div_date
NYSE:ERJ,ERJ,NYSE,Embraer SA,5.2,185116300,962604760,Aerospace & Defense,Industrial,2000-01-01
NYSE:TGI,TGI,NYSE,"TRIUMPH GROUP, INC.",6.2,52072830,322851546,Aerospace & Defense,Industrial,2000-01-01
NASDAQ:ATRO,ATRO,NASDAQ,ASTRONICS CORPORATION,7.92,30755860,243586411.2,Aerospace & Defense,Industrial,2000-01-01
NYSE:ATI,ATI,NYSE,ALLEGHENY TECHNOLOGIES INCORPORATED,8.52,126814100,1080456132,Aerospace & Defense,Industrial,2000-01-01
NASDAQ:EH,EH,NASDAQ,EHANG HOLDINGS LIMITED,9.11,54728620,498577728.2,Aerospace & Defense,Industrial,2000-01-01
NYSE:AIR,AIR,NYSE,AAR CORP.,18.02,35303460,636168349.2,Aerospace & Defense,Industrial,2000-01-01
NYSE:SPR,SPR,NYSE,"SPIRIT AEROSYSTEMS HOLDINGS, INC.",19.03,105624000,2010024720,Aerospace & Defense,Industrial,2000-01-01
NASDAQ:KTOS,KTOS,NASDAQ,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",19.47,122718500,2389329195,Aerospace & Defense,Industrial,2000-01-01
NASDAQ:VSEC,VSEC,NASDAQ,VSE CORPORATION,28.04,11043250,309652730,Aerospace & Defense,Industrial,2000-01-01
NYSE:DCO,DCO,NYSE,DUCOMMUN INCORPORATED,35.06,11683480,409622808.8,Aerospace & Defense,Industrial,2000-01-01
NYSE:HXL,HXL,NYSE,HEXCEL CORPORATION,37.37,83505780,3120610999,Aerospace & Defense,Industrial,2000-01-01
NYSE:TXT,TXT,NYSE,TEXTRON INC.,38.52,228035500,8783927460,Aerospace & Defense,Industrial,2000-01-01
NYSE:AJRD,AJRD,NYSE,"AEROJET ROCKETDYNE HOLDINGS, INC.",39.83,78621280,3131485582,Aerospace & Defense,Industrial,2000-01-01
NYSE:CUB,CUB,NYSE,CUBIC CORPORATION,42.65,31329010,1336182277,Aerospace & Defense,Industrial,2000-01-01
NYSE:BWXT,BWXT,NYSE,"BWX TECHNOLOGIES, INC.",56.45,95289390,5379086066,Aerospace & Defense,Industrial,2000-01-01
NYSE:RTX,RTX,NYSE,RAYTHEON TECHNOLOGIES CORPORATION,59.52,1527655000,90926025600,Aerospace & Defense,Industrial,2000-01-01
NASDAQ:AVAV,AVAV,NASDAQ,"AEROVIRONMENT, INC.",64.43,24104560,1553056801,Aerospace & Defense,Industrial,2000-01-01
NASDAQ:MRCY,MRCY,NASDAQ,"MERCURY SYSTEMS, INC.",67.04,56000600,3754280224,Aerospace & Defense,Industrial,2000-01-01
NYSE:NPK,NPK,NYSE,"NATIONAL PRESTO INDUSTRIES, INC.",82.33,7021390,578071038.7,Aerospace & Defense,Industrial,2000-01-01
NASDAQ:AAXN,AAXN,NASDAQ,"AXON ENTERPRISE, INC.",84.29,63475580,5350356638,Aerospace & Defense,Industrial,2000-01-01
NYSE:CW,CW,NYSE,CURTISS-WRIGHT CORPORATION,93.31,41576990,3879548937,Aerospace & Defense,Industrial,2000-01-01
NYSE:HEI,HEI,NYSE,HEICO CORPORATION,107.2,134942900,14465878880,Aerospace & Defense,Industrial,2000-01-01
NASDAQ:ESLT,ESLT,NASDAQ,ELBIT SYSTEMS LTD,121.77,44198330,5382030644,Aerospace & Defense,Industrial,2000-01-01
NYSE:HII,HII,NYSE,"HUNTINGTON INGALLS INDUSTRIES, INC.",137.83,40492150,5581033035,Aerospace & Defense,Industrial,2000-01-01
NYSE:GD,GD,NYSE,GENERAL DYNAMICS CORPORATION,142.58,286932400,40910821592,Aerospace & Defense,Industrial,2000-01-01
NYSE:BA,BA,NYSE,THE BOEING COMPANY,157.69,564448700,89007915503,Aerospace & Defense,Industrial,2000-01-01
NYSE:LHX,LHX,NYSE,"L3HARRIS TECHNOLOGIES, INC.",176.4,216195400,38136868560,Aerospace & Defense,Industrial,2000-01-01
NYSE:NOC,NOC,NYSE,NORTHROP GRUMMAN CORPORATION,330.02,166714100,55018987282,Aerospace & Defense,Industrial,2000-01-01
NYSE:LMT,LMT,NYSE,LOCKHEED MARTIN CORPORATION,379.11,279542100,1.05977E+11,Aerospace & Defense,Industrial,2000-01-01
NYSE:TDG,TDG,NYSE,TRANSDIGM GROUP INCORPORATED,499.47,54206280,27074410672,Aerospace & Defense,Industrial,2000-01-01
NYSE:SUP,SUP,NYSE,"SUPERIOR INDUSTRIES INTERNATIONAL, INC.",1.49,25591930,38131975.7,Automobiles & Auto Parts,Industrial,2000-01-01
NASDAQ:WPRT,WPRT,NASDAQ,WESTPORT FUEL SYSTEMS INC.,1.56,136857000,213496920,Automobiles & Auto Parts,Industrial,2000-01-01
NASDAQ:SOLO,SOLO,NASDAQ,ELECTRAMECCANICA VEHICLES CORP.,2.58,64121490,165433444.2,Automobiles & Auto Parts,Industrial,2000-01-01
NYSE:GTX,GTX,NYSE,GARRETT MOTION INC.,3.24,75635940,245060445.6,Automobiles & Auto Parts,Industrial,2000-01-01
NYSE:TWI,TWI,NYSE,"TITAN INTERNATIONAL, INC.",3.26,60923780,198611522.8,Automobiles & Auto Parts,Industrial,2000-01-01
NASDAQ:CVGI,CVGI,NASDAQ,"COMMERCIAL VEHICLE GROUP, INC.",4.77,32645050,155716888.5,Automobiles & Auto Parts,Industrial,2000-01-01
NASDAQ:FUV,FUV,NASDAQ,"ARCIMOTO, INC.",5.35,31514580,168603003,Automobiles & Auto Parts,Industrial,2000-01-01
NASDAQ:KNDI,KNDI,NASDAQ,"KANDI TECHNOLOGIES GROUP, INC.",5.96,54600760,325420529.6,Automobiles & Auto Parts,Industrial,2000-01-01
NYSE:MOD,MOD,NYSE,MODINE MANUFACTURING COMPANY,6.09,51147640,311489127.6,Automobiles & Auto Parts,Industrial,2000-01-01
NYSE:F,F,NYSE,FORD MOTOR COMPANY,6.91,3907537000,27001080670,Automobiles & Auto Parts,Industrial,2000-01-01
NYSE:AXL,AXL,NYSE,"AMERICAN AXLE & MANUFACTURING HOLDINGS, INC.",7.42,113273000,840485660,Automobiles & Auto Parts,Industrial,2000-01-01
NYSE:REVG,REVG,NYSE,"REV GROUP, INC.",7.65,63406130,485056894.5,Automobiles & Auto Parts,Industrial,2000-01-01
NYSE:TEN,TEN,NYSE,TENNECO INC.,8.08,81262290,656599303.2,Automobiles & Auto Parts,Industrial,2000-01-01
NYSE:MEC,MEC,NYSE,"MAYVILLE ENGINEERING COMPANY, INC",8.97,20059390,179932728.3,Automobiles & Auto Parts,Industrial,2000-01-01
NASDAQ:GT,GT,NASDAQ,THE GOODYEAR TIRE & RUBBER COMPANY,9.42,233010600,2194959852,Automobiles & Auto Parts,Industrial,2000-01-01
NYSE:DAN,DAN,NYSE,DANA INCORPORATED,13.97,144483300,2018431701,Automobiles & Auto Parts,Industrial,2000-01-01
NYSE:CYD,CYD,NYSE,CHINA YUCHAI INTERNATIONAL LIMITED,17.3,40858290,706848417,Automobiles & Auto Parts,Industrial,2000-01-01
NASDAQ:MPAA,MPAA,NASDAQ,"MOTORCAR PARTS OF AMERICA, INC.",17.35,19020590,330007236.5,Automobiles & Auto Parts,Industrial,2000-01-01
NYSE:NIO,NIO,NYSE,NIO INC.,17.74,1362180000,24165073200,Automobiles & Auto Parts,Industrial,2000-01-01
NYSE:DLPH,DLPH,NYSE,Delphi Technologies PLC,17.85,86349730,1541342681,Automobiles & Auto Parts,Industrial,2000-01-01
NASDAQ:NIU,NIU,NASDAQ,Niu Technologies,18.01,74746520,1346184825,Automobiles & Auto Parts,Industrial,2000-01-01
